,precision,recall,f1-score,support
Not Worth Surfing,1.0,1.0,1.0,15.0
Worth Surfing,1.0,1.0,1.0,11.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,26.0
weighted avg,1.0,1.0,1.0,26.0
