,precision,recall,f1-score,support
Not Worth Surfing,0.87,1.0,0.93,13.0
Worth Surfing,1.0,0.85,0.92,13.0
accuracy,0.92,0.92,0.92,0.92
macro avg,0.93,0.92,0.92,26.0
weighted avg,0.93,0.92,0.92,26.0
