,precision,recall,f1-score,support
Not Worth Surfing,0.84,1.0,0.91,16.0
Worth Surfing,1.0,0.7,0.82,10.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.92,0.85,0.87,26.0
weighted avg,0.9,0.88,0.88,26.0
