,precision,recall,f1-score,support
Not Worth Surfing,1.0,0.77,0.87,13.0
Worth Surfing,0.81,1.0,0.9,13.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.91,0.88,0.88,26.0
weighted avg,0.91,0.88,0.88,26.0
